what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1303807545469
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1303807545470
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1303807545470
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1303807545471
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1303807545471
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1303807545472
started,bundle,org.eclipse.equinox.p2.director,2.0.3.R36x_v20101117-1018,"org.eclipse.equinox.p2.director",1303807545472
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1303807545473
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1303807545473
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1303807545473
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1303807545473
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1303807545474
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1303807545474
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1303807545474
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1303807545475
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1303807545475
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1303807545475
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.3.R36x_v20101202,"org.eclipse.equinox.p2.touchpoint.eclipse",1303807545475
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1303807545476
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1303807545476
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1303807545476
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1303807545476
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1303807545476
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1303807545476
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1303807545477
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1303807545477
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1303807545477
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1303807545477
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1303807545477
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1303807545477
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1303807545478
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1303807545478
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1303807545478
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1303807545478
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1303807545478
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1303807545479
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1303807545479
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1303807545479
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1303807545479
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1303807545479
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1303807545479
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1303807545479
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1303807545479
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1303807545480
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1303807545480
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1303807545480
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1303807545480
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1303807545480
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1303807545480
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1303807545480
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1303807545480
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1303807545480
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1303807545480
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1303807545480
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1303807545481
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1303807545481
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1303807545481
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1303807545481
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1303807545481
os,sysinfo,,,"win32",1303807545487
arch,sysinfo,,,"x86_64",1303807545487
ws,sysinfo,,,"win32",1303807545487
locale,sysinfo,,,"en_IN",1303807545487
processors,sysinfo,,,"4",1303807545487
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1303807545487
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1303807545487
java.specification.name,sysinfo,,,"Java Platform API Specification",1303807545487
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1303807545487
java.specification.version,sysinfo,,,"1.6",1303807545487
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1303807545487
java.version,sysinfo,,,"1.6.0_17",1303807545487
java.vm.info,sysinfo,,,"mixed mode",1303807545487
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1303807545487
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1303807545487
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1303807545487
java.vm.specification.version,sysinfo,,,"1.0",1303807545487
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1303807545487
java.vm.version,sysinfo,,,"14.3-b01",1303807545487
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1303807546177
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1303807546218
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1303807546302
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807584012
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807605012
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807606823
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807608486
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807614133
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807614233
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807614539
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1303807624409
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1303807624852
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807625368
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1303807636058
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1303807636320
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807636782
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303807637364
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1303807641277
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1303807641407
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1303807641419
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807650100
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807663828
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1303807668261
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1303807668379
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303807672823
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303807677629
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1303807683391
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1303807683661
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1303807683677
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807689932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807689955
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807693688
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807693801
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807693851
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807696663
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1303807703712
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807706466
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807723081
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1303807723100
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807727770
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807727872
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807727904
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807732237
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807738022
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807738126
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807738159
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807739731
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1303807739745
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1303807748234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303807800106
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807802573
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807802718
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807802746
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807806422
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807820653
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807904481
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807924654
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807928450
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1303807928499
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807929983
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807945284
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807952255
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807952368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807952402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807955671
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303807959048
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303808211888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303808216481
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303808217970
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303808223743
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303808223840
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303808223869
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303808226817
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303808234366
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303808237805
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303808311845
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1303808315484
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1303808317792
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1303808328183
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1303808331695
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303808334208
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303808335632
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1303808335808
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1303808335809
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1303808338666
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1303808338722
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1303808340640
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1303808340640
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1303808351226
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1303808351233
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1303808351348
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1303808351348
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1303808351414
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1303808351446
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1303808351446
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303808351955
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303808357811
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1303808357832
opened,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1303808361048
activated,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1303808361155
